epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,586.306,1.13255,0.90233,1.16212,0.85837,0.80815,0.86805,0.63978,1.0594,0.75483,1.11324,0.00333173,0.00333173,0.00333173
2,1149.75,1.14522,0.91471,1.16159,0.84252,0.79197,0.85245,0.62017,1.09918,0.81588,1.13862,0.00633514,0.00633514,0.00633514
3,1715.43,1.19412,0.99579,1.18632,0.81985,0.76593,0.82346,0.57922,1.18626,0.90248,1.18494,0.00900855,0.00900855,0.00900855
4,2279.81,1.2502,1.07906,1.21534,0.81031,0.74728,0.81338,0.56932,1.17862,0.94112,1.18527,0.008515,0.008515,0.008515
5,2841.87,1.24029,1.07648,1.21595,0.81834,0.76854,0.82832,0.5854,1.16456,0.87752,1.17827,0.00802,0.00802,0.00802
6,3405.72,1.24153,1.06077,1.209,0.80583,0.76553,0.82125,0.58014,1.15782,0.89333,1.17891,0.007525,0.007525,0.007525
7,3976.73,1.23189,1.04217,1.20458,0.81171,0.7815,0.83508,0.60088,1.11818,0.85006,1.15544,0.00703,0.00703,0.00703
8,4536.28,1.20869,1.02201,1.19755,0.82921,0.7776,0.83817,0.60583,1.11164,0.8365,1.15115,0.006535,0.006535,0.006535
9,5096.96,1.19647,0.99997,1.18878,0.83018,0.79235,0.84946,0.61693,1.09447,0.80524,1.14047,0.00604,0.00604,0.00604
10,5681.78,1.18196,0.97611,1.1845,0.83529,0.80085,0.85188,0.61947,1.09081,0.78847,1.13535,0.005545,0.005545,0.005545
11,6236.21,1.14655,0.82874,1.15433,0.83935,0.79888,0.85811,0.62855,1.0808,0.7768,1.13003,0.00505,0.00505,0.00505
12,6783.36,1.13256,0.80775,1.14807,0.85329,0.80614,0.86554,0.63971,1.06905,0.76009,1.12294,0.004555,0.004555,0.004555
13,7344.12,1.11704,0.78088,1.13752,0.85542,0.81301,0.86697,0.6417,1.06069,0.74071,1.11751,0.00406,0.00406,0.00406
14,7895.63,1.0965,0.76062,1.12512,0.86298,0.81287,0.87173,0.64782,1.04653,0.73178,1.1125,0.003565,0.003565,0.003565
15,8437.95,1.08778,0.74356,1.12183,0.86066,0.81629,0.87399,0.6544,1.03833,0.71935,1.10744,0.00307,0.00307,0.00307
16,8977.78,1.06775,0.7188,1.1089,0.86441,0.82184,0.87688,0.65807,1.03306,0.70973,1.10397,0.002575,0.002575,0.002575
17,9518.87,1.05327,0.70021,1.1019,0.86072,0.82338,0.87887,0.66059,1.02695,0.70275,1.09844,0.00208,0.00208,0.00208
18,10088.3,1.03697,0.676,1.0909,0.8631,0.82866,0.88112,0.66314,1.02416,0.6922,1.09591,0.001585,0.001585,0.001585
19,10660.7,1.0222,0.65427,1.08314,0.86609,0.82991,0.88277,0.66521,1.02239,0.68729,1.09583,0.00109,0.00109,0.00109
20,11240.6,1.01066,0.64286,1.08157,0.86845,0.82927,0.88329,0.66631,1.02122,0.68421,1.09551,0.000595,0.000595,0.000595
