epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,582.618,1.10986,0.85996,1.1476,0.85436,0.81477,0.87135,0.64723,1.04661,0.73597,1.10489,0.00333173,0.00333173,0.00333173
2,1141.81,1.11971,0.8706,1.1468,0.84091,0.79677,0.85482,0.62261,1.09577,0.78821,1.14012,0.00633514,0.00633514,0.00633514
3,1701.1,1.16438,0.94183,1.16831,0.82439,0.76919,0.83,0.58717,1.16934,0.88206,1.17801,0.00900855,0.00900855,0.00900855
4,2254.76,1.21965,1.0311,1.19858,0.82656,0.76106,0.82523,0.5791,1.16674,0.90034,1.17615,0.008515,0.008515,0.008515
5,2808.09,1.21284,1.0266,1.20175,0.82504,0.78308,0.83541,0.59461,1.15461,0.85691,1.17388,0.00802,0.00802,0.00802
6,3363.65,1.21944,1.01872,1.19536,0.81654,0.76844,0.82644,0.5888,1.14169,0.87068,1.16567,0.007525,0.007525,0.007525
7,3912.1,1.21175,1.00285,1.19235,0.83454,0.7829,0.84398,0.60905,1.1097,0.82205,1.14744,0.00703,0.00703,0.00703
8,4460.67,1.18984,0.98335,1.18368,0.83497,0.79122,0.84613,0.61296,1.10329,0.80789,1.14349,0.006535,0.006535,0.006535
9,5009.47,1.17395,0.96357,1.1772,0.83671,0.79739,0.85451,0.62407,1.08708,0.7825,1.13646,0.00604,0.00604,0.00604
10,5560.12,1.16313,0.94427,1.17168,0.84868,0.80038,0.85777,0.62855,1.07848,0.76674,1.13083,0.005545,0.005545,0.005545
11,6114.97,1.12739,0.7952,1.1408,0.85112,0.8031,0.86481,0.63704,1.07193,0.75854,1.12604,0.00505,0.00505,0.00505
12,6662.49,1.1136,0.7744,1.13668,0.85382,0.81242,0.86877,0.64344,1.06404,0.74535,1.12138,0.004555,0.004555,0.004555
13,7199.35,1.09813,0.75389,1.12404,0.85893,0.81331,0.86971,0.64648,1.05557,0.73026,1.1173,0.00406,0.00406,0.00406
14,7734.82,1.08026,0.73614,1.11577,0.86063,0.8195,0.87444,0.65154,1.04298,0.71741,1.11098,0.003565,0.003565,0.003565
15,8268.83,1.06899,0.71796,1.11185,0.86533,0.81981,0.87763,0.65943,1.0337,0.70688,1.10657,0.00307,0.00307,0.00307
16,8808.78,1.05007,0.69121,1.09824,0.87222,0.8237,0.88199,0.66255,1.03129,0.69589,1.10441,0.002575,0.002575,0.002575
17,9340.24,1.03806,0.67641,1.09301,0.86989,0.82867,0.88328,0.66613,1.02246,0.69002,1.09908,0.00208,0.00208,0.00208
18,9876.16,1.02223,0.65437,1.08214,0.87261,0.82865,0.88372,0.66726,1.02294,0.68324,1.09853,0.001585,0.001585,0.001585
19,10412.3,1.00722,0.63311,1.07508,0.87663,0.82571,0.88497,0.66998,1.01944,0.67613,1.09667,0.00109,0.00109,0.00109
20,10956.2,0.99855,0.62184,1.07264,0.8763,0.8273,0.8852,0.67061,1.01779,0.67457,1.09534,0.000595,0.000595,0.000595
