epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,636.441,1.45355,2.44098,1.33469,0.57221,0.54889,0.53817,0.32755,1.40213,1.72259,1.32772,0.00333173,0.00333173,0.00333173
2,1223.34,1.46281,1.82334,1.33214,0.62215,0.57025,0.5782,0.34891,1.42153,1.52821,1.35106,0.00633514,0.00633514,0.00633514
3,1810.19,1.52656,1.74163,1.38114,0.59903,0.54561,0.5662,0.33681,1.52125,1.69297,1.41334,0.00900855,0.00900855,0.00900855
4,2392,1.53858,1.67991,1.39658,0.66203,0.61814,0.65383,0.40915,1.42813,1.43514,1.36843,0.008515,0.008515,0.008515
5,2968.76,1.45813,1.52622,1.35796,0.71231,0.66884,0.70674,0.46388,1.35703,1.23496,1.31369,0.00802,0.00802,0.00802
6,3540.43,1.42664,1.43,1.32652,0.71077,0.68678,0.72722,0.48824,1.29707,1.16223,1.27786,0.007525,0.007525,0.007525
7,4112.86,1.39031,1.35613,1.30753,0.75966,0.71086,0.76626,0.52178,1.22842,1.0797,1.23398,0.00703,0.00703,0.00703
8,4687.27,1.34782,1.29475,1.28464,0.76969,0.72548,0.7813,0.53873,1.20557,1.02949,1.21595,0.006535,0.006535,0.006535
9,5259.24,1.32218,1.24878,1.26881,0.78843,0.74371,0.79825,0.55852,1.17719,0.97716,1.19897,0.00604,0.00604,0.00604
10,5834.02,1.29372,1.20114,1.25523,0.79214,0.74831,0.80783,0.5696,1.16331,0.94021,1.18005,0.005545,0.005545,0.005545
11,6399.72,1.26837,1.04651,1.23656,0.80858,0.75291,0.81695,0.58017,1.14451,0.91806,1.17627,0.00505,0.00505,0.00505
12,6959.31,1.239,0.9968,1.22079,0.81234,0.76739,0.82711,0.5926,1.12719,0.88194,1.16612,0.004555,0.004555,0.004555
13,7515.72,1.22083,0.96186,1.20672,0.82261,0.76615,0.83144,0.60123,1.11194,0.86002,1.15527,0.00406,0.00406,0.00406
14,8070.89,1.19256,0.92784,1.19044,0.82848,0.77724,0.8411,0.61034,1.09335,0.83071,1.1438,0.003565,0.003565,0.003565
15,8629.17,1.17689,0.89563,1.18071,0.83329,0.78361,0.8459,0.61851,1.08447,0.81071,1.13898,0.00307,0.00307,0.00307
16,9189.47,1.15311,0.86055,1.16386,0.83554,0.78951,0.8518,0.62603,1.07319,0.79606,1.13094,0.002575,0.002575,0.002575
17,9747.97,1.13017,0.83135,1.15191,0.84094,0.79129,0.85649,0.63056,1.06681,0.78048,1.125,0.00208,0.00208,0.00208
18,10293.6,1.11157,0.80072,1.13977,0.83519,0.80152,0.85949,0.63501,1.06119,0.76748,1.12153,0.001585,0.001585,0.001585
19,10835.6,1.09092,0.77123,1.12698,0.8487,0.79833,0.86224,0.63912,1.05548,0.75677,1.12012,0.00109,0.00109,0.00109
20,11387.4,1.0737,0.74815,1.12004,0.84847,0.80349,0.86342,0.64128,1.05326,0.75164,1.11781,0.000595,0.000595,0.000595
