epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,14041.8,1.12903,0.90756,1.14956,0.87473,0.82518,0.88354,0.66517,1.01645,0.68813,1.09234,0.00505,0.00505,0.00505
22,14666.2,1.12505,0.89843,1.14413,0.87953,0.82332,0.88439,0.66678,1.01358,0.68607,1.08997,0.0048025,0.0048025,0.0048025
23,15488.7,1.12569,0.88961,1.14533,0.87657,0.82979,0.88535,0.66831,1.0104,0.68243,1.08881,0.004555,0.004555,0.004555
24,16221.8,1.12193,0.88045,1.14322,0.88023,0.82852,0.88642,0.66903,1.00984,0.67739,1.08854,0.0043075,0.0043075,0.0043075
25,16935.8,1.10524,0.87349,1.13826,0.88141,0.83067,0.88749,0.66969,1.00856,0.67456,1.08808,0.00406,0.00406,0.00406
26,17575.5,1.10662,0.86589,1.13339,0.87991,0.83094,0.88846,0.6709,1.00665,0.67197,1.08642,0.0038125,0.0038125,0.0038125
27,18185.9,1.09382,0.84763,1.13207,0.88126,0.83019,0.88857,0.67131,1.00562,0.66941,1.08603,0.003565,0.003565,0.003565
28,18786.2,1.09154,0.8467,1.13013,0.88176,0.83121,0.88886,0.67231,1.00439,0.66694,1.0854,0.0033175,0.0033175,0.0033175
29,19390,1.08104,0.82848,1.12389,0.8812,0.83286,0.88911,0.67262,1.00379,0.66463,1.08469,0.00307,0.00307,0.00307
30,19993.8,1.08043,0.82988,1.12453,0.88291,0.83161,0.88934,0.67301,1.00271,0.66291,1.08378,0.0028225,0.0028225,0.0028225
31,20581.8,1.0371,0.69025,1.09086,0.88412,0.8323,0.89012,0.67428,1.0012,0.66064,1.08311,0.002575,0.002575,0.002575
32,21167.5,1.02923,0.67063,1.08341,0.88434,0.83268,0.89075,0.6752,0.99958,0.65832,1.08211,0.0023275,0.0023275,0.0023275
33,21747.1,1.01194,0.65994,1.07468,0.88656,0.8325,0.89121,0.67601,0.99833,0.65583,1.08127,0.00208,0.00208,0.00208
34,22334.3,1.0032,0.64403,1.07112,0.88677,0.83275,0.89135,0.67671,0.99719,0.65396,1.08059,0.0018325,0.0018325,0.0018325
35,22943.9,0.99114,0.62914,1.06445,0.88874,0.83183,0.89123,0.67746,0.99622,0.65232,1.07991,0.001585,0.001585,0.001585
36,23531.9,0.98361,0.62193,1.05872,0.88987,0.83148,0.89151,0.67814,0.99527,0.65063,1.07933,0.0013375,0.0013375,0.0013375
37,24149.3,0.9738,0.61036,1.0539,0.89207,0.8313,0.89189,0.67849,0.99477,0.64936,1.07892,0.00109,0.00109,0.00109
38,24744.8,0.97206,0.60339,1.05242,0.89372,0.82962,0.89215,0.67909,0.99406,0.6481,1.07846,0.0008425,0.0008425,0.0008425
39,25329.8,0.96226,0.59125,1.04722,0.89379,0.83012,0.89247,0.67953,0.99351,0.64705,1.07792,0.000595,0.000595,0.000595
40,25940.4,0.94792,0.5795,1.04269,0.89484,0.8301,0.89282,0.67985,0.99305,0.64586,1.07761,0.0003475,0.0003475,0.0003475
