epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,713.086,1.04749,0.78717,1.11119,0.86858,0.82607,0.87951,0.66206,1.0238,0.69323,1.09371,0.00333178,0.00333178,0.00333178
2,1412.89,1.0774,0.82426,1.12244,0.87594,0.78271,0.86151,0.63417,1.07741,0.75163,1.12151,0.00650016,0.00650016,0.00650016
3,2100.94,1.14477,0.92992,1.15723,0.84343,0.78135,0.83802,0.59687,1.13868,0.84819,1.16139,0.00950353,0.00950353,0.00950353
4,2785.73,1.21102,1.03758,1.1922,0.83437,0.75886,0.83016,0.58947,1.14525,0.87116,1.16168,0.0092575,0.0092575,0.0092575
5,3467.31,1.22012,1.0507,1.20042,0.83964,0.76938,0.83561,0.59401,1.14288,0.86879,1.15992,0.00901,0.00901,0.00901
6,4137.68,1.21581,1.03852,1.19757,0.84386,0.77889,0.84033,0.60592,1.11725,0.82557,1.15276,0.0087625,0.0087625,0.0087625
7,4810.19,1.21588,1.03359,1.19527,0.84396,0.77784,0.84498,0.61284,1.0995,0.82091,1.14336,0.008515,0.008515,0.008515
8,5484.43,1.20486,1.02828,1.19192,0.84592,0.78804,0.84938,0.61786,1.09389,0.80217,1.13833,0.0082675,0.0082675,0.0082675
9,6145.94,1.20523,1.00639,1.19025,0.84454,0.79249,0.85141,0.62098,1.09092,0.80498,1.13681,0.00802,0.00802,0.00802
10,6816.83,1.20269,1.01005,1.18697,0.84139,0.79958,0.8559,0.63043,1.07693,0.7832,1.12951,0.0077725,0.0077725,0.0077725
11,7486.41,1.18796,0.99287,1.17933,0.85906,0.80033,0.86212,0.63486,1.07123,0.76673,1.12599,0.007525,0.007525,0.007525
12,8183.67,1.18207,0.98667,1.17875,0.86079,0.80381,0.86497,0.63854,1.06559,0.75002,1.12316,0.0072775,0.0072775,0.0072775
13,8905.8,1.18181,0.97972,1.17741,0.86576,0.81057,0.86936,0.64378,1.05644,0.74214,1.11763,0.00703,0.00703,0.00703
14,9585.9,1.16948,0.9695,1.1707,0.8634,0.80414,0.87014,0.64562,1.04784,0.73972,1.11315,0.0067825,0.0067825,0.0067825
15,10251.3,1.16942,0.95755,1.16971,0.85661,0.82149,0.874,0.64984,1.04409,0.72505,1.10757,0.006535,0.006535,0.006535
16,10920.2,1.16599,0.95142,1.1686,0.86407,0.82185,0.87674,0.65512,1.03722,0.71541,1.10636,0.0062875,0.0062875,0.0062875
17,11563.4,1.15869,0.93901,1.16381,0.87049,0.81902,0.87744,0.65642,1.03365,0.70617,1.1028,0.00604,0.00604,0.00604
18,12194.2,1.14637,0.92925,1.1584,0.87228,0.82159,0.8797,0.65734,1.03021,0.69978,1.10265,0.0057925,0.0057925,0.0057925
19,12802.7,1.14876,0.92402,1.15645,0.87277,0.82412,0.88083,0.66029,1.02691,0.69576,1.09826,0.005545,0.005545,0.005545
20,13434.9,1.1374,0.91955,1.15486,0.87642,0.82447,0.88185,0.66294,1.02186,0.69111,1.09559,0.0052975,0.0052975,0.0052975
