epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.82,1.17589,0.9848,1.1884,0.83371,0.79053,0.85126,0.61818,1.09275,0.81542,1.13519,0.00333173,0.00333173,0.00333173
2,1302.8,1.19782,1.00857,1.19324,0.82253,0.76089,0.82751,0.58837,1.14349,0.8894,1.16807,0.00633514,0.00633514,0.00633514
3,1938.25,1.25064,1.10244,1.21996,0.77581,0.73309,0.78674,0.54567,1.21545,0.99414,1.2088,0.00900855,0.00900855,0.00900855
4,2575.79,1.30708,1.1859,1.25224,0.8003,0.73182,0.79641,0.54836,1.20836,1.00086,1.20887,0.008515,0.008515,0.008515
5,3215,1.29173,1.17219,1.25067,0.79591,0.74363,0.80343,0.55931,1.19944,0.95785,1.20557,0.00802,0.00802,0.00802
6,3853.01,1.29089,1.14868,1.23935,0.77473,0.74642,0.79288,0.55438,1.17893,0.96689,1.19299,0.007525,0.007525,0.007525
7,4485.58,1.27364,1.11945,1.2321,0.80301,0.75887,0.81832,0.5816,1.13999,0.89771,1.17441,0.00703,0.00703,0.00703
8,5136.19,1.24748,1.09737,1.22372,0.82403,0.76132,0.82809,0.58994,1.13915,0.88044,1.16552,0.006535,0.006535,0.006535
9,5777.8,1.23354,1.07001,1.21219,0.821,0.77879,0.83629,0.60035,1.12539,0.84564,1.16003,0.00604,0.00604,0.00604
10,6422.54,1.2165,1.04469,1.20469,0.81917,0.78642,0.84061,0.60584,1.11047,0.83139,1.14841,0.005545,0.005545,0.005545
11,7076.77,1.18293,0.89232,1.17919,0.83495,0.78244,0.84691,0.61638,1.09341,0.81644,1.1456,0.00505,0.00505,0.00505
12,7687.05,1.16558,0.86535,1.1726,0.83824,0.79276,0.85379,0.62499,1.08203,0.79668,1.13334,0.004555,0.004555,0.004555
13,8297.31,1.14702,0.83538,1.15801,0.83991,0.79948,0.85673,0.63009,1.07788,0.77696,1.13184,0.00406,0.00406,0.00406
14,8915.61,1.12554,0.81264,1.14429,0.84888,0.803,0.86252,0.63842,1.0569,0.7616,1.11956,0.003565,0.003565,0.003565
15,9525.23,1.1169,0.79291,1.14215,0.85032,0.81046,0.86692,0.64489,1.05167,0.74273,1.11474,0.00307,0.00307,0.00307
16,10125.7,1.0949,0.76219,1.1253,0.85581,0.81282,0.87068,0.64988,1.04482,0.73008,1.11128,0.002575,0.002575,0.002575
17,10730.2,1.07921,0.74117,1.11769,0.85706,0.8137,0.87262,0.65267,1.03918,0.72669,1.10504,0.00208,0.00208,0.00208
18,11329.7,1.06258,0.71475,1.10735,0.85701,0.81747,0.87495,0.6556,1.0375,0.71483,1.10443,0.001585,0.001585,0.001585
19,11930.2,1.04337,0.69307,1.09613,0.85834,0.81994,0.87512,0.6579,1.03348,0.71096,1.1022,0.00109,0.00109,0.00109
20,12535.3,1.03271,0.67831,1.09281,0.85775,0.82051,0.87585,0.65911,1.03277,0.70648,1.10116,0.000595,0.000595,0.000595
